time,season.x,season.y,count.x,count.y,intersections,change
AM,Fall 2009,Fall 2010,210,257,6,0.223809523809524
AM,Fall 2010,Fall 2011,167,155,5,-0.0718562874251497
AM,Fall 2011,Fall 2012,97,70,2,-0.278350515463918
AM,Fall 2012,Fall 2013,165,312,4,0.890909090909091
AM,Fall 2009,Fall 2013,110,114,2,0.0363636363636364
PM,Fall 2009,Fall 2010,345,322,6,-0.0666666666666667
PM,Fall 2010,Fall 2011,28,27,1,-0.0357142857142857
PM,Fall 2011,Fall 2012,160,74,2,-0.5375
PM,Fall 2012,Fall 2013,227,374,4,0.647577092511013
PM,Fall 2009,Fall 2013,122,41,1,-0.663934426229508
AM,Spring 2009,Spring 2010,241,320,11,0.327800829875519
AM,Spring 2010,Spring 2011,180,119,5,-0.338888888888889
AM,Spring 2011,Spring 2012,65,87,2,0.338461538461538
AM,Spring 2012,Spring 2013,50,1,1,-0.98
AM,Spring 2009,Spring 2013,56,43,2,-0.232142857142857
PM,Spring 2009,Spring 2010,470,612,11,0.302127659574468
PM,Spring 2010,Spring 2011,210,344,3,0.638095238095238
PM,Spring 2011,Spring 2012,276,279,2,0.0108695652173913
PM,Spring 2012,Spring 2013,211,133,1,-0.369668246445498
PM,Spring 2009,Spring 2013,176,228,3,0.295454545454545
