hour,WeekdayBeltline,WeekendBeltline,WeekdayOther,WeekendOther
00:00,0.267,0,0.417,1.556
01:00,0.667,0,0.188,0.333
02:00,0.667,0.125,0.271,0.167
03:00,0.467,0,0.062,0.278
04:00,0.067,0,0.208,0.056
05:00,0,0,0.396,0.944
06:00,0.667,0.125,0.5,0.667
07:00,1.533,0,1.938,1.111
08:00,4.933,1,3.708,4.222
09:00,7,1.375,3.917,7.278
10:00,7.538,5.75,3.617,9.722
11:00,6.231,7.75,3.083,17.444
12:00,6.077,9.375,3.469,16.667
13:00,7.462,11.875,3.776,16.278
14:00,11.077,19.875,5.38,12.833
15:00,10.308,10.25,15.229,12.778
16:00,14,7.125,49.229,10.944
17:00,23.154,4.625,94.375,13.722
18:00,30.308,1.625,55.625,12.833
19:00,24.077,1.5,20.542,9.889
20:00,13.5,1.5,6.917,8.278
21:00,4.214,0.25,2.354,3.389
22:00,1.5,0.125,1.688,2.944
23:00,1.333,0.125,0.583,2.611
